id,url,title,price,location,type,area,rooms,bedrooms,bathrooms,description,property_state,jardin,piscine,cuisine_equiped,terrasse,garage,ascenseur,quartier,status
,https://www.avito.ma/fr/aakkari/maisons_et_villas/maison_q_55893240.htm,maison q,,"Aakkari, Rabat","Maisons et Villas, à vendre",,,,,je mets en vente une ancienne maison d'héritier,,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/maisons_et_villas/vendre_maison__55166524.htm,vendre maison,,"Aakkari, Rabat","Maisons et Villas, à vendre",,,,,"bonjour je vendre une maison a akkari très bon coin près de marché tram bus hôpital
maison plus un local commercial surface 30 M2
maison traditionnelle décoration marocain",,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/maisons_et_villas/vendre_maison_avec_local_commercial__55651795.htm,vendre maison avec local commercial,950000,"Aakkari, Rabat","Maisons et Villas, à vendre",,6,4,,"bonjour vendre maison avec local commercial aussi une cave près de tramway Gare taxi bus zone commerciale titre de maison adliya
4 chambre 2 salon 2 toilette une cave local commercial",,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/abbadi/appartements/%D8%B4%D9%82%D8%A9_%D8%A8%D8%B9%D9%85%D8%A7%D8%B1%D8%A7%D8%AA_%D8%A7%D9%84%D8%A7%D8%B2%D8%AF%D9%87%D8%A7%D8%B1_2__55710352.htm,شقة بعمارات الازدهار 2,,"Abbadi, Temara","Appartements, à vendre",,,,,شقة للتنازل بعمارات الازدهار 2 بالطابق الثالث,,false,false,false,false,false,false,Abbadi,à vendre
,https://www.avito.ma/fr/abbadi/appartements/%D8%B4%D9%82%D8%A9_%D9%84%D9%84%D8%A8%D9%8A%D8%B9_%D8%AA%D9%85%D8%A7%D8%B1%D8%A9_%D8%A7%D9%84%D8%A7%D8%AE%D9%88%D9%8A%D9%86_56318623.htm,شقة للبيع تمارة الاخوين,870000,"Abbadi, Temara","Appartements, à vendre",,,,,شقة في الطابق الأول شوكة على شارعين صالحة لطبيب او محامي او إدارة او سكن العمارة مكون من سته شقق,,false,false,false,false,false,false,Abbadi,à vendre
,https://www.avito.ma/fr/abbadi/appartements/%D9%86%D8%A7%D8%AE%D9%85%D9%88%D9%89%D8%A4%D9%8A%D8%A9%D8%A7%D8%B9%D9%86%D8%A9%D9%86%D9%85%D8%B2%D9%88%D8%A9%D8%AA%D9%85%D8%A9%D9%89%D9%86%D9%85%D8%A9%D8%B1%D9%84%D9%86%D8%B2%D9%88%D9%89%D9%85%D8%AE%D8%BA_55821273.htm,ناخموىؤيةاعنةنمزوةتمةىنمةرلنزوىمخغ,85689,"Abbadi, Temara","Appartements, à vendre",,,,,اباتنحنىؤستككزىؤننو,,false,false,false,false,false,false,Abbadi,à vendre
,https://www.avito.ma/fr/abbadi/appartements/Appartement_%C3%A0_vendre_103_m%C2%B2_%C3%A0_Temara_56019017.htm,Appartement à vendre 103 m² à Temara,990000,"Abbadi, Temara","Appartements, à vendre",103,,,,"Superbe appartement de 103 m² situé au 4ᵉ étage d’une résidence moderne avec ascenseur et parking en sous-sol. Orienté à l’est, cet appartement bénéficie d’un excellent ensoleillement tout au long de la journée.

Il comprend une suite parentale avec dressing et salle de bain privée, une cuisine équipée IKEA avec un grand espace de rangement, ainsi qu’un vaste espace de vie chaleureux doté d’un sol en parquet bois.

La résidence est idéalement située dans un quartier calme et respectueux. L’entrée de l’immeuble, placée dans une impasse, garantit une sécurité optimale, particulièrement appréciable pour les familles avec enfants. À seulement 100 mètres de l’école Avenzouar, ce bien offre une localisation idéale pour un quotidien pratique et agréable.",,false,false,true,false,true,true,Abbadi,à vendre
,https://www.avito.ma/fr/abbadi/appartements/Appartement_%C3%A0_vendre_124_m%C2%B2_%C3%A0_Temara_55771315.htm,Appartement à vendre 124 m² à Temara,1140000,"Abbadi, Temara","Appartements, à vendre",124,4,02,,"Je mets en vente un appartement de 124 m2 situé à résidence bassatine 3 sur l’avenue Tarik Ibn Ziad

L’appartement se compose de :
02 chambres
02 salons
01 suite parentale avec balcon et salle de bain
02 salles de bain
Cuisine

Aussi, deux places de parking privées en sous-sol d'une superficie de 35 m2 titrées",,false,false,false,false,true,false,Abbadi,à vendre
,https://www.avito.ma/fr/abbadi/appartements/Appartement_%C3%A0_vendre_62_m%C2%B2_%C3%A0_Temara_56166018.htm,Appartement à vendre 62 m² à Temara,,"Abbadi, Temara","Appartements, à vendre",62,,,,Appartement duplex 62m duplex 32,,false,false,false,false,false,false,Abbadi,à vendre
,https://www.avito.ma/fr/abbadi/appartements/Appartement_%C3%A0_vendre_92_m%C2%B2_%C3%A0_Temara_55980286.htm,Appartement à vendre 92 m² à Temara,750000,"Abbadi, Temara","Appartements, à vendre",92,,,,"Appartement au rez de chaussée a zahrat al Amal, temara",,false,false,false,false,false,false,Abbadi,à vendre
