type,area,property_state,rooms,bedrooms,bathrooms,jardin,piscine,cuisine_equiped,terrasse,garage,quartier,price_de_m2,price
villa,1059.0,,6.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,Souissi,11803.588290840415,12500000.0
villa,200.0,10-20 ans,8.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,Riyad,26400.0,5280000.0
maison,70.0,20-30 ans,4.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,Takadoum,20714.285714285714,1450000.0
appartement,212.0,Moins d'un an,7.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,Riyad,20754.716981132075,4400000.0
appartement,120.0,20-30 ans,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,Diour Jamaa,10833.333333333334,1300000.0
,75.0,10-20 ans,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Guich Oudaya,13333.333333333334,1000000.0
,280.0,20-30 ans,9.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,Médina,10357.142857142857,2900000.0
villa,589.0,1-5 ans,6.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,Hay El Menzah,13412.563667232598,7900000.0
villa,1950.0,,7.0,4.0,5.0,1.0,0.0,0.0,1.0,1.0,Quartier Des Ambassades,7692.307692307692,15000000.0
,220.0,70-100 ans,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,Médina,19090.909090909092,4200000.0
appartement,142.0,,4.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,Agdal,17183.098591549297,2440000.0
appartement,136.0,1-5 ans,2.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,Souissi,25735.29411764706,3500000.0
appartement,91.0,,4.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,Riyad,26923.076923076922,2450000.0
,144.0,,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,Agdal,62.5,9000.0
maison,330.0,20-30 ans,1.0,9.0,4.0,0.0,0.0,0.0,1.0,1.0,Hay Al Massira,11818.181818181818,3900000.0
maison,159.0,50-70 ans,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Akkari,2201257.8616352202,350000000.0
,120.0,,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,Agdal,16250.0,1950000.0
,97.0,30-50 ans,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,Hay Al Kora,12164.948453608247,1180000.0
villa,1137.0,70-100 ans,3.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,Les Orangers,13000.0,14781000.0
villa,400.0,5-10 ans,10.0,6.0,5.0,1.0,0.0,0.0,1.0,1.0,Hay Ach-chbanat,17950.0,7180000.0
appartement,62.0,1-5 ans,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,Guich Oudaya,16935.483870967742,1050000.0
villa,729.0,,9.0,5.0,5.0,1.0,1.0,1.0,0.0,1.0,Riyad,16460.90534979424,12000000.0
appartement,126.0,5-10 ans,4.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Kébibat,14285.714285714286,1800000.0
